"admission_number","phone_last4","q9_raw","q4a_raw","q1_raw","q2_raw","q5b_raw","q6_raw","q3_raw","q4b_raw","q10_raw","q7_raw","q8_raw","q5a_raw"
"ADM0081","4567","Budget-conscious - prefer to keep costs low","Mainly for sleeping/studying, not for hanging out","Before 11 PM (early)","Very tidy - I like things clean and organized","Very uncomfortable","I need a 100% smoke-free room","Before 10 PM","Very uncomfortable","I prefer someone very similar to me","I require an alcohol-free room","I am strict vegetarian and require a meat-free room","Almost never"
"ADM0082","4567","Budget-conscious - prefer to keep costs low","Mainly for sleeping/studying, not for hanging out","Before 11 PM (early)","Very tidy - I like things clean and organized","Very uncomfortable","I need a 100% smoke-free room","Before 10 PM","Very uncomfortable","I prefer someone very similar to me","I require an alcohol-free room","I am strict vegetarian and require a meat-free room","Almost never"
"ADM0083","4567","Budget-conscious - prefer to keep costs low","Mainly for sleeping/studying, not for hanging out","Before 11 PM (early)","Very tidy - I like things clean and organized","Very uncomfortable","I need a 100% smoke-free room","Before 10 PM","Very uncomfortable","I prefer someone very similar to me","I require an alcohol-free room","I am strict vegetarian and require a meat-free room","Almost never"
"ADM0084","4567","Budget-conscious - prefer to keep costs low","Mainly for sleeping/studying, not for hanging out","Before 11 PM (early)","Very tidy - I like things clean and organized","Very uncomfortable","I need a 100% smoke-free room","Before 10 PM","Very uncomfortable","I prefer someone very similar to me","I require an alcohol-free room","I am strict vegetarian and require a meat-free room","Almost never"
"ADM0085","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0086","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0087","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0088","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0089","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0090","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0091","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0092","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0093","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0094","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0095","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
"ADM0096","4567","Standard - okay with reasonable shared costs","Sometimes hang out with friends in the room","11 PM - 1 AM (normal)","Tidy - I clean up a few times a week","Okay if occasional","I don't smoke but don't mind if roommates smoke (following hostel rules)","Between 10 PM and midnight","Okay if it's occasional","I can manage some differences","I don't drink, but don't mind if roommates store/drink responsibly","I am vegetarian but okay if roommates keep/cook non-veg","Sometimes (a few nights a week)"
